"","STATE","ST_CASE","VE_FORMS","VEH_NO","PER_NO","N_MOT_NO","COUNTY","DAY","MONTH","HOUR","MINUTE","ROAD_FNC","HARM_EV","MAN_COLL","SCH_BUS","MAKE","MAK_MOD","BODY_TYP","MOD_YEAR","VINTYPE","VINMAKE","VINA_MOD","VIN_BT","VINMODYR","VIN_LNGT","VIN_WGT","WGTCD_TR","WHLBS_LG","WHLBS_SH","SER_TR","FUELCODE","MCYCL_DS","TOW_VEH","SPEC_USE","EMER_USE","ROLLOVER","IMPACT1","IMPACT2","FIRE_EXP","AGE","SEX","PER_TYP","INJ_SEV","SEAT_POS","REST_USE","REST_MIS","AIR_BAG","EJECTION","EJ_PATH","EXTRICAT","DRINKING","ALC_DET","ALC_STATUS","ATST_TYP","ALC_RES","DRUGS","DRUG_DET","DSTATUS","DRUGTST1","DRUGTST2","DRUGTST3","DRUGRES1","DRUGRES2","DRUGRES3","HOSPITAL","DOA","DEATH_DA","DEATH_MO","DEATH_YR","DEATH_HR","DEATH_MN","DEATH_TM","LAG_HRS","LAG_MINS","P_SF1","P_SF2","P_SF3","CERT_NO","WORK_INJ","HISPANIC","RACE","LOCATION"
"107",34,340197,2,1,1,0,5,14,5,22,52,11,24,0,0,37,37031,2,1988,"P","HOND","CSI","2H",88,17,1951,NA,0,906,NA,"G",NA,0,0,0,1,1,4,0,39,2,1,4,11,7,0,20,1,9,0,1,1,2,1,31,0,1,2,1,0,0,1,0,0,0,7,14,5,2010,22,52,2252,0,0,0,0,0,"************",0,2,1,0
"108",34,340228,1,1,1,0,7,13,7,19,52,11,1,0,0,20,20016,4,2000,"P","CHEV","CAV","4D",0,17,2676,NA,0,1041,NA,"G",NA,0,0,0,2,0,13,0,30,2,1,4,11,3,0,1,0,0,1,1,1,2,1,1,0,1,2,1,0,0,1,0,0,5,0,20,7,2010,0,37,37,148,45,0,0,0,"************",0,7,1,0
"109",34,340294,1,1,3,0,35,2,7,3,14,11,33,0,0,34,34036,1,2006,"P","BMW","650","CV",6,17,4277,NA,0,1094,NA,"G",NA,0,0,0,1,14,13,0,24,2,2,4,21,7,0,0,1,9,0,1,1,2,1,25,8,8,2,1,0,0,1,0,0,0,7,2,7,2010,3,58,358,0,44,0,0,0,"************",0,4,2,0
"110",34,340321,1,1,1,0,13,21,8,1,55,11,33,0,0,54,54032,4,1993,"P","ACUR","LEL","4D",93,17,3170,NA,0,1146,NA,"G",NA,0,0,0,1,14,14,0,25,2,1,2,11,7,0,1,0,0,0,1,1,2,1,11,8,8,2,1,0,0,1,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,"************",8,0,0,0
"111",34,340389,1,1,2,0,21,30,9,22,34,11,5,0,0,34,34401,14,2001,"P","BMW","BX5","UT",1,17,4519,NA,0,1110,NA,"G",NA,0,0,0,0,0,0,0,41,2,2,4,13,7,0,20,0,0,0,1,1,2,1,2,0,1,2,1,0,0,1,0,0,5,0,30,9,2010,23,22,2322,0,48,0,0,0,"************",0,7,1,0
"112",34,340392,1,1,2,0,19,18,9,20,10,11,1,0,0,38,38401,14,2000,"P","ISU","TRO","UT",0,17,4455,NA,0,1087,NA,"G",NA,0,0,0,1,0,98,0,63,2,2,4,13,3,0,20,0,0,0,1,1,2,1,3,8,8,2,1,0,0,1,0,0,5,0,18,9,2010,23,0,2300,2,50,0,0,0,"************",0,7,2,0
"113",34,340424,1,1,1,0,35,1,9,14,46,11,24,0,0,6,6051,4,2005,"P","CHRY","3TR","4D",5,17,3675,NA,0,1200,NA,"G",NA,0,0,0,0,10,12,0,89,2,1,4,11,7,0,1,0,0,0,1,1,2,1,1,0,1,2,1,0,0,1,0,0,5,0,1,9,2010,15,34,1534,0,48,0,0,0,"************",0,7,1,0
"114",34,340438,2,1,1,0,35,10,10,19,56,11,12,7,0,34,34034,2,2011,"P","BMW","2XS","CP",11,17,3627,NA,0,1087,NA,"G",NA,0,0,0,0,1,3,0,37,2,1,1,11,3,0,20,0,0,0,1,1,2,1,8,0,1,2,1,0,0,1,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,"************",8,0,0,0
"115",34,340459,2,0,1,1,39,3,11,23,23,11,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,2,5,4,0,96,8,97,8,0,0,1,1,2,1,17,1,1,2,1,1,0,402,407,0,0,7,4,11,2010,1,40,140,2,17,37,0,0,"************",0,7,1,11
"116",34,340477,1,1,1,0,13,10,12,1,38,11,1,0,0,49,49050,3,2008,"P","TOYT","SXC","LB",8,17,2905,NA,0,1063,NA,"G",NA,0,0,0,2,0,99,0,24,2,1,4,11,7,0,2,1,9,0,1,1,2,1,10,0,1,2,1,0,0,1,0,0,0,7,10,12,2010,3,11,311,1,33,0,0,0,"************",0,7,1,0
"117",36,360018,1,0,1,1,81,22,1,5,58,1,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2,5,4,0,96,8,97,8,0,0,8,9,2,1,16,8,8,2,1,0,0,1,0,0,3,0,22,1,2010,99,99,9999,999,99,0,0,0,"************",0,99,99,11
"118",36,360100,1,0,1,1,43,20,2,4,30,1,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,5,4,0,96,8,97,8,0,0,8,9,2,1,26,8,8,2,1,0,0,1,0,0,0,7,20,2,2010,4,30,430,0,0,0,0,0,"************",0,7,1,11
"119",36,360313,1,1,1,0,27,21,3,2,55,1,35,0,0,20,20022,2,2007,"P","CHEV","SSC","CP",7,17,2991,NA,0,1033,NA,"G",NA,0,0,0,1,12,13,0,23,2,1,4,11,3,0,20,0,0,0,1,9,2,1,21,8,8,2,1,0,0,1,0,0,0,7,21,3,2010,4,15,415,1,20,0,0,0,"************",0,7,1,0
"120",42,420146,2,1,1,0,75,13,3,0,5,1,12,2,0,22,22016,2,1998,"P","PONT","SFS","CP",98,17,2637,NA,0,1041,NA,"G",NA,0,0,0,0,12,12,0,26,2,1,5,11,7,0,1,0,0,1,1,1,2,1,17,0,1,2,1,0,0,1,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,"************",8,0,0,0
"121",42,420557,1,1,1,0,33,1,7,18,29,1,24,0,0,98,98706,80,2004,"U",NA,NA,NA,9,17,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,11,11,0,36,2,1,4,11,17,0,0,8,0,0,0,5,2,1,1,0,7,2,1,0,0,606,0,0,1,0,1,7,2010,19,22,1922,0,53,0,0,0,"************",0,99,99,0
"122",42,420846,1,1,1,0,49,1,8,15,15,1,35,0,0,7,7442,20,2006,"P","DODG","CAR","SV",6,17,4252,NA,0,1193,NA,"G",NA,0,0,0,1,1,0,0,39,2,1,5,11,3,0,20,0,0,0,1,1,2,1,14,1,7,2,1,0,0,997,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,"************",8,0,0,0
"123",42,420041,2,1,1,0,79,10,1,2,59,11,1,0,0,20,20022,4,2005,"P","CHEV","BLS","4D",5,17,3216,NA,0,1033,NA,"G",NA,0,0,0,2,0,18,1,21,2,1,4,11,7,0,99,1,9,0,9,9,2,1,17,9,8,0,0,0,0,0,0,0,0,7,10,1,2010,4,27,427,1,28,0,0,0,"************",0,99,99,0
"124",42,420215,1,0,1,1,79,8,4,2,10,11,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,2,5,4,0,96,8,97,8,0,0,1,5,2,1,24,0,7,2,1,0,0,1,0,0,0,7,8,4,2010,3,10,310,1,0,0,0,0,"************",0,99,99,11
"125",42,420222,1,1,2,0,101,18,4,6,27,11,25,0,0,19,19421,15,2005,"P","CADI","ESC","UT",5,17,5571,NA,0,1160,NA,"G",NA,0,0,0,1,10,1,0,24,2,2,4,13,7,0,8,1,2,0,8,9,2,1,7,8,8,2,2,0,0,996,0,0,0,7,18,4,2010,6,57,657,0,30,0,0,0,"************",0,99,99,0
"126",42,420346,1,1,3,0,81,11,5,3,12,11,24,0,0,12,12016,4,2003,"P","FORD","CVP","4D",3,17,3946,NA,0,1147,NA,"G",NA,0,0,0,0,11,11,1,23,2,2,4,99,7,0,0,0,0,1,8,9,2,1,10,8,8,2,1,0,0,603,0,0,0,7,11,5,2010,4,27,427,1,15,0,0,0,"************",0,99,99,0
"127",42,420642,1,1,1,0,19,23,8,1,0,11,59,0,0,55,55035,5,2003,"P","HYUN","EST","4H",3,17,2635,NA,0,1027,NA,"G",NA,0,0,0,1,11,0,0,38,2,1,4,11,3,0,2,2,1,1,1,1,2,1,17,0,7,2,1,0,0,1,0,0,1,0,23,8,2010,3,39,339,2,39,0,0,0,"************",0,99,99,0
"128",44,440046,3,2,2,0,3,17,8,1,54,11,12,6,0,12,12037,4,2010,"P","FORD","FSE","4D",10,17,2623,NA,0,1029,NA,"G",NA,0,0,0,1,12,11,0,17,2,2,4,23,7,0,8,1,9,0,8,9,2,1,8,8,8,2,1,0,0,1,0,0,5,0,17,8,2010,2,26,226,0,32,0,0,0,"************",0,4,2,0
"129",2,20002,1,0,1,1,290,23,1,19,34,1,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,5,4,0,96,8,97,8,0,0,1,1,2,1,37,0,7,2,1,0,0,1,0,0,0,7,23,1,2010,20,15,2015,0,41,0,0,0,"************",0,7,3,11
"130",2,20010,1,1,1,0,240,28,4,19,25,1,35,0,0,20,20036,2,2000,"P","CHEV","MLS","CP",0,17,3340,NA,0,1075,NA,"G",NA,0,0,0,1,6,6,0,39,1,1,4,11,7,0,20,1,2,0,1,1,2,1,28,0,1,2,1,0,0,1,0,0,0,7,28,4,2010,20,27,2027,1,2,0,0,0,"************",0,7,3,0
"131",2,20020,1,1,1,0,90,27,6,23,15,1,1,0,0,72,72706,80,2007,"M","HD","FLU","RS",7,17,NA,NA,NA,NA,NA,NA,1584,0,0,0,0,0,9,0,54,1,1,4,11,17,0,0,8,0,0,1,1,2,1,9,1,1,2,1,0,0,695,0,0,5,0,28,6,2010,19,50,1950,20,35,0,0,0,"************",0,7,1,0
"132",2,20031,1,1,1,0,170,2,9,19,34,1,1,0,0,72,72706,80,2005,"M","HD","FHC","RS",5,17,NA,NA,NA,NA,NA,NA,1450,0,0,0,0,0,0,0,57,1,1,4,11,17,0,0,8,0,0,1,1,2,1,22,1,1,2,1,1,0,606,189,0,0,7,2,9,2010,19,55,1955,0,21,0,0,0,"************",0,7,1,0
"133",2,20042,2,1,1,0,90,26,10,20,56,1,12,6,0,7,7482,31,1998,"T","DODG","Q25","4C",98,17,NA,2,1547,1387,"RPC","D",NA,0,0,0,0,12,12,0,60,1,1,0,11,3,0,20,0,0,0,1,2,2,1,12,0,8,2,1,0,0,606,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,"************",8,0,0,0
"134",2,20051,2,1,1,0,20,17,12,17,2,1,12,2,0,49,49472,30,2011,"T","TOYT","DCL","CW",11,17,NA,1,0,1278,"TAC","G",NA,0,0,0,0,12,12,0,28,1,1,3,11,3,0,8,0,0,0,1,1,2,1,23,0,1,2,1,0,0,1,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,"************",8,0,0,0
"135",4,40015,1,1,1,0,5,19,1,6,32,1,1,0,0,12,12481,31,2004,"T","FORD","F2S","4C",4,17,NA,2,1580,1418,"SRW","D",NA,0,0,0,1,0,0,0,53,1,1,4,11,3,0,20,0,0,1,9,9,2,1,17,9,8,2,1,0,0,1,0,0,0,7,19,1,2010,99,99,9999,999,99,0,0,0,"************",0,99,99,0
"136",4,40015,1,1,2,0,5,19,1,6,32,1,1,0,0,12,12481,31,2004,"T","FORD","F2S","4C",4,17,NA,2,1580,1418,"SRW","D",NA,0,0,0,1,0,0,0,61,1,2,4,13,7,0,20,0,0,1,8,9,2,1,33,8,8,2,1,0,0,996,0,0,0,7,19,1,2010,99,99,9999,999,99,0,0,0,"************",0,99,99,0
"137",4,40077,1,1,1,0,3,21,2,15,37,1,32,0,0,72,72706,80,1997,"M","HD","FDL","RS",97,17,NA,NA,NA,NA,NA,NA,1340,0,0,0,0,12,12,0,52,1,1,4,11,17,0,0,8,0,0,9,9,2,1,29,9,8,0,0,0,0,0,0,0,0,7,21,2,2010,15,58,1558,0,21,0,0,0,"************",0,99,99,0
"138",4,40174,2,1,1,0,19,4,4,2,53,1,12,7,0,12,12481,31,1997,"T","FORD","F15","3C",97,17,NA,1,1570,1390,"COF","G",NA,0,0,0,1,2,99,0,22,1,1,4,11,7,0,20,1,9,0,9,9,2,1,29,9,8,2,1,0,0,1,0,0,0,7,7,4,2010,11,34,1134,80,41,0,0,0,"************",0,1,1,0
"139",4,40216,1,1,1,0,13,10,4,3,54,1,1,0,0,12,12401,14,1998,"P","FORD","EPR","UT",98,17,4146,NA,0,1115,NA,"G",NA,0,0,0,1,0,0,0,23,1,1,4,11,7,0,20,1,9,0,9,9,2,1,22,9,8,2,1,0,0,1,0,0,1,0,10,4,2010,5,30,530,1,36,0,0,0,"************",0,99,99,0
